ConsoID,ConsolidatedAmountID,CurrCode,Amount,TransactionCurrCode,TransactionAmount
2,229826706,EUR,382043.39,NULL,NULL
2,229826707,EUR,6294.25,NULL,NULL
2,229826708,EUR,14743.54,NULL,NULL
2,229826709,EUR,24520.31,NULL,NULL
2,229826710,EUR,-81.25,NULL,NULL
2,229826711,EUR,-948,NULL,NULL
2,229826712,EUR,54.95,NULL,NULL
2,229826713,EUR,828.16,NULL,NULL
2,229826714,EUR,375.89,NULL,NULL
2,229826715,EUR,-10000,NULL,NULL
2,229826716,EUR,-40610.26,NULL,NULL
2,229826717,EUR,-84929.89,NULL,NULL
2,229826718,EUR,99957.06,NULL,NULL
2,229826719,EUR,570,NULL,NULL
2,229826720,EUR,50657.56,NULL,NULL
2,229826721,EUR,-566.03,NULL,NULL
2,229826722,EUR,63554.46,NULL,NULL
2,229826723,EUR,325.52,NULL,NULL
2,229826724,EUR,-360.81,NULL,NULL
2,229826725,EUR,-305.81,NULL,NULL
2,229826726,EUR,4871.88,NULL,NULL
2,229826727,EUR,23035.4,NULL,NULL
2,229826728,EUR,8868.63,NULL,NULL
2,229826729,EUR,43.53,NULL,NULL
2,229826730,EUR,123.34,NULL,NULL
2,229826731,EUR,305.81,NULL,NULL
2,229826732,EUR,-23035.4,NULL,NULL
2,229826733,EUR,-140.15,NULL,NULL
2,229826734,EUR,-0.51,NULL,NULL
2,229826735,EUR,-325.52,NULL,NULL
2,229826736,EUR,-4871.88,NULL,NULL
2,229826737,EUR,6550.71,NULL,NULL
2,229826738,EUR,-451.1,NULL,NULL
2,229826739,EUR,167.52,NULL,NULL
2,229826740,EUR,15.74,NULL,NULL
2,229826741,EUR,-113.21,NULL,NULL
2,229826742,EUR,393.62,NULL,NULL
2,229826743,EUR,-1009.56,NULL,NULL
2,229826744,EUR,15226.8,NULL,NULL
2,229826745,EUR,625.59,NULL,NULL
2,229826746,EUR,31.78,NULL,NULL
2,229826747,EUR,-1007,NULL,NULL
2,229826748,EUR,-90756,NULL,NULL
2,229826749,EUR,817856.38,NULL,NULL
2,229826750,EUR,0,NULL,NULL
2,229826751,EUR,0,NULL,NULL
2,229826752,EUR,0,NULL,NULL
2,229826753,EUR,0,NULL,NULL
2,229826754,EUR,68587.4,NULL,NULL
2,229826755,EUR,88807.07,NULL,NULL
2,229826756,EUR,-40000,NULL,NULL
2,229826757,EUR,-60000,NULL,NULL
2,229826758,EUR,-12807.26,NULL,NULL
2,229826759,EUR,1005.06,NULL,NULL
2,229826760,EUR,6234.46,NULL,NULL
2,229826761,EUR,32680,NULL,NULL
2,229826762,EUR,-1009640.54,NULL,NULL
2,229826763,EUR,-2384409,NULL,NULL
2,229826764,EUR,-2066193.98,NULL,NULL
2,229826765,EUR,0,NULL,NULL
2,229826766,EUR,-233949.64,NULL,NULL
2,229826767,EUR,-456616.35,NULL,NULL
2,229826768,EUR,-0.15,NULL,NULL
2,229826769,EUR,56364.29,NULL,NULL
2,229826770,EUR,-66300.71,NULL,NULL
2,229826771,EUR,3346694.01,NULL,NULL
2,229826772,EUR,1036960.54,NULL,NULL
2,229826773,EUR,-150000,NULL,NULL
2,229826774,EUR,-25070961.13,NULL,NULL
2,229826775,EUR,-111893.59,NULL,NULL
2,229826776,EUR,-21809.99,NULL,NULL
2,229826777,EUR,-216582.06,NULL,NULL
2,229826778,EUR,2842649.77,NULL,NULL
2,229826779,EUR,639127.39,NULL,NULL
2,229826780,EUR,-585638.93,NULL,NULL
2,229826781,EUR,41447.39,NULL,NULL
2,229826782,EUR,802518.98,NULL,NULL
